Short_Desc,Saturated_fat_grams
"BUTTER,WITH SALT",51.368
"BUTTER,WHIPPED,W/ SALT",45.39
"BUTTER OIL,ANHYDROUS",61.924
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",13.272
"MILK,BUTTERMILK,DRIED",3.598
"BUTTER,WITHOUT SALT",50.489
"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",14.198
"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",0.029
"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",0.067
"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)",0.067
"SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",7.529
"ALMOND BUTTER,PLN,WO/SALT",4.152
"ALMOND BUTTER,PLN,W/SALT",6.55
"PEANUT BUTTER,CHUNK STYLE,W/SALT",7.607
"PEANUT BUTTER,SMOOTH STYLE,W/ SALT",10.325
"USDA CMDTY,PNUT BUTTER,SMOOTH",9.519
"PEANUT BUTTER,CHUNK STYLE,WO/SALT",7.607
"PEANUT BUTTER,SMOOTH STYLE,WO/SALT",10.325
"CAKE,POUND,COMMLY PREP,BUTTER (INCLUDES FRSH & FROZEN)",4.811
"COOKIES,BUTTER,COMMLY PREP,ENR",11.051
"COOKIES,PNUT BUTTER,COMMLY PREP,REG",6.751
"COOKIES,PNUT BUTTER SNDWCH,REG",4.995
"CRACKERS,CHS,SANDWICH-TYPE W/PNUT BUTTER FILLING",4.406
"CRACKERS,STD SNACK-TYPE,SNDWCH,W/PNUT BUTTER FILLING",4.803
"CROISSANTS,BUTTER",11.659
"PANCAKES PLN,FRZ,RTH (INCLUDES BUTTERMILK)",1.162
"GRANOLA BARS,SOFT,COATD,MILK CHOC COATING,PNUT BUTTER",17.01
"CANDIES,NESTLE,BUTTERFINGER BAR",9.5
"CANDIES,BUTTERSCOTCH",2.065
"CANDIES,CONFECTIONER'S COATING,BUTTERSCOTCH",24.1
"CANDIES,CONFECTIONER'S COATING,PNUT BUTTER",13.12
"CANDIES,REESE'S PNUT BUTTER CUPS",10.73
"CANDIES,MARS SNACKFOOD US,TWIX PNUT BUTTER COOKIE BARS",15.758
"FRUIT BUTTERS,APPLE",0.053
"SNACKS,POPCORN,MICROWAVE,REG (BUTTER) FLAVOR, W/PARHYD OIL",7.216
"CANDIES,MARS SNACKFOOD US,M&M'S PNUT BUTTER CHOC CANDIES",18.485
